date,volume,open,high,low,close
2023-01-03,954000,17.2,17.5,17.0,17.5
2023-01-04,1285000,17.5,17.95,17.5,17.8
2023-01-05,618000,17.8,17.9,17.6,17.65
2023-01-06,406000,17.65,17.65,17.45,17.65
2023-01-09,549000,17.7,17.7,17.35,17.45
2023-01-10,8711000,17.85,19.15,17.85,18.8
2023-01-11,2782000,18.75,19.2,18.5,18.75
2023-01-12,1999000,18.8,19.3,18.65,18.8
2023-01-13,949000,18.95,18.95,18.45,18.55
2023-01-16,660000,18.65,18.65,18.3,18.35
2023-01-17,532000,18.35,18.5,18.25,18.5
2023-01-30,1106000,18.7,19.0,18.7,18.85
2023-01-31,1407000,18.9,19.35,18.9,19.2
2023-02-01,1554000,19.3,19.75,19.25,19.5
2023-02-02,989000,19.6,19.6,19.15,19.25
2023-02-03,739000,19.25,19.25,18.95,19.1
2023-02-06,864000,19.15,19.45,19.1,19.45
2023-02-07,836000,19.45,19.7,19.3,19.7
2023-02-08,797000,19.85,19.95,19.7,19.75
2023-02-09,397000,19.75,19.75,19.55,19.6
2023-02-10,773000,19.75,19.75,19.3,19.55
2023-02-13,724000,19.35,19.7,19.2,19.7
2023-02-14,2210000,19.7,20.3,19.55,19.8
2023-02-15,549000,19.85,19.85,19.6,19.8
2023-02-16,1060000,19.8,20.25,19.8,20.2
2023-02-17,311000,20.2,20.2,20.0,20.15
2023-02-20,953000,20.15,20.6,20.15,20.6
2023-02-21,1465000,20.7,21.25,20.6,21.25
2023-02-22,1093000,21.25,21.4,20.85,21.35
2023-02-23,1755000,21.4,21.5,20.75,20.8
2023-02-24,1145000,20.85,20.9,20.3,20.75
2023-03-01,1789000,21.0,21.45,21.0,21.3
2023-03-02,1727000,21.35,21.65,21.05,21.65
2023-03-03,1288000,21.7,21.8,21.3,21.75
2023-03-06,879000,21.85,21.95,21.6,21.7
2023-03-07,561000,21.65,21.8,21.5,21.75
2023-03-08,1722000,21.8,22.3,21.75,22.3
2023-03-09,756000,22.35,22.6,22.15,22.3
2023-03-10,1075000,22.25,22.25,21.65,21.85
2023-03-13,1232000,21.75,22.1,21.35,22.1
2023-03-14,612000,22.0,22.15,21.85,21.9
2023-03-15,461000,22.0,22.2,22.0,22.1
2023-03-16,1719000,21.9,22.0,20.4,20.65
2023-03-17,958000,20.75,21.4,20.75,21.3
2023-03-20,1670000,21.5,21.85,21.1,21.8
2023-03-21,935000,21.8,22.15,21.8,22.0
2023-03-22,510000,22.05,22.1,21.9,21.95
2023-03-23,627000,21.95,21.95,21.8,21.8
2023-03-24,1824000,21.85,21.9,21.0,21.25
2023-03-27,993000,21.3,21.65,21.3,21.55
2023-03-28,961000,21.6,21.7,21.35,21.35
2023-03-29,1008000,21.35,21.45,21.1,21.15
2023-03-30,797000,21.15,21.45,21.05,21.4
2023-03-31,752000,21.35,21.5,21.3,21.45
2023-04-06,1235000,21.45,21.7,21.3,21.55
2023-04-07,2234000,21.6,22.2,21.6,22.15
2023-04-10,4314000,22.35,23.0,22.35,22.9
2023-04-11,2320000,22.9,22.9,22.6,22.8
2023-04-12,4036000,22.75,23.0,22.65,23.0
2023-04-13,7304000,21.2,22.8,20.8,22.25
2023-04-14,3185000,22.05,22.15,21.3,21.35
2023-04-17,1854000,21.45,21.85,21.25,21.45
2023-04-18,1321000,21.5,21.65,21.2,21.2
2023-04-19,1406000,21.3,21.35,20.8,20.85
2023-04-20,1363000,20.85,20.85,20.2,20.3
2023-04-21,1279000,20.35,20.4,19.65,19.7
2023-04-24,647000,19.7,20.0,19.7,19.95
2023-04-25,1190000,20.0,20.0,19.05,19.25
2023-04-26,739000,19.05,19.3,18.95,19.2
2023-04-27,485000,19.25,19.35,18.95,19.2
2023-04-28,528000,19.3,19.35,19.05,19.1
2023-05-02,709000,19.15,19.35,18.95,19.35
2023-05-03,690000,19.3,19.75,19.15,19.6
2023-05-04,797000,19.6,19.85,19.5,19.55
2023-05-05,1843000,20.0,20.45,19.95,20.3
2023-05-08,3973000,20.6,21.2,20.55,20.9
2023-05-09,2084000,20.5,20.5,19.85,20.25
2023-05-10,439000,20.2,20.25,20.0,20.25
2023-05-11,981000,20.35,20.35,19.8,19.8
2023-05-12,400000,20.0,20.1,19.7,20.0
2023-05-15,387000,20.0,20.0,19.7,19.8
2023-05-16,639000,20.05,20.2,19.85,19.95
2023-05-17,555000,20.0,20.05,19.8,19.9
2023-05-18,296000,20.0,20.0,19.85,19.9
